text;Number of Tokens;Number of Mistakes;Number of Hallucinations;Number of OCR errors
"ministerie
";1;0;;
Voedselkwaliteit (hierna: LNV) heeft umet een beroep op de Wet openbaarheid van bestuur (hierna: Wob) informatie verzocht;18;2;;2
"krijgen
";1;0;;
"adviezen, memo’s en andere documenten 
";5;0;;
"verzoek (ongevraagd) verkregen, uitgedaan en/of opgevraagd zijn in het kader van een zoektocht naar de oplossingen voor de stikstof- en PFAS-problematiek. Tevens 
";22;0;;
"daaromtrent. 
Uw verzoek 
";3;0;;
"doorgestuurd 
";1;0;;
"Zaken en Koninkrijksrelaties (hierna: BZK). 
";5;0;;
"verzoek 
";1;0;;
"bevestigd 
";1;0;;
"december 2019, kenmerk 2019-000069030830909. 
Bij brief van 15 januari 2020, kenmerk 2020-0000018522, is de beslistermijn verdaagd met vier weken. 
Aangezien uw verzoek";22;0;;
"Waterstaat
";1;0;;
"Algemene Zaken is doorgezonden, 
";4;0;;
"betrokken ministeries contact met uopgenomen over de 
specificering 
";9;2;;2
"verzoek. Met u is afgesproken dat u eerst een besluit zult ontvangen over de documentatie die onder uw verzoek 
";19;0;;
"onder uw verzoek 
";3;0;;
"besluit buiten beschouwing gelaten. Daarnaast is umedegedeeld dat gezien 
";10;2;;2
"verzoek niet aan de wettelijke termijnen 
";6;0;;
"worden. 
Wettelijk kader Uw verzoek valt onder de reikwijdte 
";9;0;;
"relevante Wob-artikelen 
verwijs ik u naar bijlage 1. 
 Pagina";9;0;;
