text;Number of Tokens;Number of Mistakes;Number of Hallucinations;Number of OCR errors
"Ministerie van Onderwijs, Cultuur en 
Wetenschap Bijlage 1 -";8;0;;
berustende;1;0;;
"bestuursorgaan
";1;0;;
"materizal 
dat gegevens bevat;
";4;1;;1
"voorbereiding en de ultvoering ervan;";5;1;;1
intern beraad: het beraad;4;0;;
"kring
";1;0;;
"gezamenlijke verantwoordelijkheid yoor een bestuurlijke aangelegenheid; 
";7;1;;1
"nlet-ambtelljke adviescommissie: een ven overheidswege Ingestelde instantie
";7;1;;1
"geen embtenaren
";2;1;;1
adviseren over de ;3;0;;
"instantle zijn voorgelegd, Ambtenaren,
";4;1;;1
"worden
";1;0;;
"als feden daarvan beschouwd; 
";4;1;;1
"ambtelijke of gemengd samengestelde adviescommissie: een Instantie,
";7;0;;
adviseren van één of meer;5;0;;
"gedeeltelljk is 
samengesteld ult ambtenaren, tot wier functie behoort het adviseren
";11;2;;2
"onderwerpen die aan de instantie 
zijn voorgelegd; 
";7;0;;
persoonlijke beleldsopvatting:;2;1;;1
"conclusie
";1;0;;
"aangelegenheid ende daartoe
";4;2;;2
"milleu-informatie:
";1;0;;
Artikel;1;0;;
"Informatie neergelegd in docurnenten over een bestuurlijke 
aangelegenheid
";8;1;;1
"onder verantwoordelijkheid van een bestuursorgaan werkzeme 
";6;1;;
"vermeldt
";1;0;;
"bestuurlijfke aangelegenheidof het daarop
";5;3;;3
"belang te stellen, 
";3;0;;
"geformuleerd is, verzoekt het bestuursorgaan
";5;0;;
mogelijk om zijn verzoek te preciseren;5;0;;
"om Informatie
";2;0;;
"bepaalde
";1;0;;
"ingevolye
";1;1;;1
"de eenheid 
";2;0;;
"de veiligheid 
";2;0;;
"schaden; 
";1;0;;
"bedrijfs- en fabricagegegevens
";3;0;;
"meegedeeld; 
";1;0;;
persoonsgegevens betreft als;3;0;;
"persoonsgegevens, tenzij de verstrekking kennelijk
";5;0;;
"persoonlijke
";1;0;;
"maakt. 
";1;0;;
