text;Number of Tokens;Number of Mistakes;Number of Hallucinations;Number of OCR errors
inventarislijst,;1;0;;
gelegenheid gesteld hierover een zienswijze;5;0;;
informatie;1;0;;
motivering verwijs;2;0;;
"t.a.v. eenieder 
Allereerst wil ik u wijzen";8;2;;2
artikel 3, vijfde;3;0;;
informatie ingewilligd;2;0;;
artikelen;1;0;;
uitsluitend het publieke;3;0;;
democratische bestuursvoering. Het komt iedere burger in gelijke;5;2;;2
aanzien;1;0;;
onderscheid;1;0;;
verrichten;1;0;;
Informatie;1;0;;
weigeringsgronden;1;0;;
specifieke;1;0;;
uitsluitend;1;0;;
mogelijk is. Indien;3;0;;
indien zij;2;0;;
licht vindt de onderstaande belangenafweging/vinden de onderstaande belangenafwegingen;9;0;;
artikel;1;0;;
waarbij in de inventarislijst staat aangegeven dat artikel;8;0;;
geding.;1;0;;
vergoedingssystematiek;1;0;;
onderhandelingspositie van de overheid;4;0;;
informatie;1;0;;
informatie;1;0;;
