text;Number of Tokens;Number of Mistakes;Number of Hallucinations;Number of OCR errors
Ministerie van Onderwijs, Cultuur en Wetenschap Bijlage 1 -;8;0;;
berustende;1;0;;
bestuursorgaan;1;0;;
"materiaal 
dat gegevens bevat;";4;0;;
"voorbereiding en de uitvoering ervan;";5;0;;
Intern beraad: het beraad;4;0;;
kring;1;0;;
"gezamenlijke verantwoordelijkheid voor een bestuurlijke aangelegenheid;";7;0;;
Nationale adviescommissie: een van overheidswege ingestelde instantie,;7;1;1;
geen ambtenaren;2;0;;
adviseren over de;3;0;;
instantie zijn voorgelegd, ambtenaren;4;0;;
worden;1;0;;
"als feden daarvan beschouwd;";4;1;;1
ambtelijke of gemengd samengestelde adviescommissie: een instantie,;7;0;;
adviseren van één of meer;5;0;;
gedeeltelijk is samengesteld uit ambtenaren, tot wier functie behoort het adviseren;11;0;;
"onderwerpen die aan de instantie 
zijn voorgelegd;";7;0;;
persoonlijke beleidsopvatting:;2;0;;
conclusie;1;0;;
aangelegenheid en daartoe;4;1;1;
milieu-informatie: ;1;0;;
Artikel;1;0;;
informatie neergelegd in documenten over een bestuurlijke aangelegenheid;8;0;;
onder verantwoordelijkheid van een bestuursorgaan werkzame;6;0;;
vermeldt;1;0;;
bestuurlijke aangelegenheid of het daarop;5;0;;
belang te stellen.;3;0;;
geformuleerd is, verzoekt het bestuursorgaan;5;0;;
Mogelijk om zijn verzoek te preciseren;5;0;;
om informatie;2;0;;
bepaalde;1;0;;
inzake;1;1;1;
De eenheid;2;0;;
De veiligheid;2;0;;
"schaden;";1;0;;
bedrijfs- en fabricagegegevens;3;0;;
"meegedeeld;";1;0;;
Persoonsgegevens betreft als;3;0;;
persoonsgegevens, tenzij de verstrekking kennelijk;5;0;;
persoonlijke;1;0;;
maakt.;1;0;;
