text;Number of Tokens;Number of Mistakes;Number of Hallucinations;Number of OCR errors
Bagage;1;1;1;
bepalingen;1;0;;
schriftelijk;1;0;;
zijn;1;0;;
"Koninkrijksrelaties;";1;0;;
uitgegaan;1;0;;
openbaarheid;1;0;;
democratische samenleving.;2;0;;
verantwoordelijkheid;1;0;;
bedrijf;1;0;;
beslist het verantwoordelijke;3;0;;
schriftelijk worden ingediend;3;0;;
wijze.;1;0;;
zijn;1;0;;
zijn verzoek de aangelegenheid;4;0;;
Indienen;1;1;1;
preciseren;1;0;;
daarbij;1;0;;
besluiten;1;0;;
indien;1;0;;
preciesering als bedoeld in het vijfde;5;1;;1
besluit;1;0;;
gepreciseerd;1;0;;
termijn ongebruikt;2;0;;
ingevuld;1;1;1;
Indienen een voldoende gespecificeerd verzoek zodanig omvangrijk;7;0;;
termijn;1;0;;
beslist,;1;0;;
termijn;1;0;;
prioritering;1;0;;
mogelijk;1;0;;
beslist;1;0;;
mogelijk, doch uiterlijk;3;0;;
beslissing;1;0;;
Indien;1;0;;
gecompliceerdheid;1;0;;
rechtvaardigt.;1;0;;
termijn schriftelijk gemotiveerd;3;0;;
