text;Number of Tokens;Number of Mistakes;Number of Hallucinations;Number of OCR errors
Onderwijs, Cultuur en Wetenschap;4;0;;
vooraf;1;1;1;
asielstatushouders;1;0;;
ook;1;0;;
Omdat mensen;2;0;;
cursus;1;0;;
maximale leenbedrag voor asielmigranten altijd;5;0;;
analfabeten;1;0;;
niet-analfabeten;1;0;;
"onderscheid kan niet
vastgesteld";4;0;;
mogelijk;1;0;;
"verlenging van de inburgeringstermijn
wegens het volgen van alfabetiseringslessen";9;0;;
"Leerbaarheidstaat, De leerbaarheidstoets
'wordt";4;1;;1
"Daarnaast vraagt u in uw
verzoek om ";7;0;;
voor de;2;0;;
"cohorten van inburgeringsgebieden
";3;1;1;
"in de Inburgeraar geïnformeerd
wend Over de inburgeringsplicht. In mijn e-mail van 12 juli";16;3;;3
Om akkoord;2;0;;
hanteerwielen;1;1;1;
Voorgestelde aanpassingen;2;0;;
Wettelijk kader Uw verzoek visit oncliw de reit:IA.13(1W;10;4;;4
Wob-;1;0;;
bljiage 1;2;1;;1
Besluit Ik heb besloten;4;0;;
Iventarisatie documenten;2;0;;
document aangetroffen;2;0;;
"document ""Cl, fers Inburgering”";3;1;;1
