text;Number of Tokens;Number of Mistakes;Number of Hallucinations;Number of OCR errors
gerespecteerd.;1;1;1;
herleidbaar zijn;2;0;;
e-mailadressen, functienamen;2;0;;
gerespecteerd;1;1;1;
openbaarheid;1;0;;
Daarbij;1;0;;
individuele;1;0;;
bevoordeeling;1;1;;1
"aangelegenheid betrokken natuurlijke
";3;0;;
"namelijk bedrijfsvertrouwelijke
";2;0;;
vergoedingssystematiek;1;0;;
vergoedingsystematiek;1;1;;1
partijen;1;0;;
vertrouwelijk;1;0;;
bedrijven;1;0;;
leveranciers;1;0;;
Bedrijven;1;0;;
"bedrijfsvertrouwelijke of
anderszins concurrentiegevoelige informatie
vertrouwelijk blijft.";7;0;;
weigeringsgrond;1;0;;
Uitgangspunt;1;0;;
overheidsinformatie;1;0;;
beginsel;1;0;;
bestuurlijke aangelegenheid;2;0;;
"gezamenlijke verantwoordelijkheid voor een
bestuurlijke aangelegenheid. Uit de
wetsgeschiedenis blijkt";10;0;;
"politieke en ambtelijke leidinggevenden,
correspondentie";5;0;;
ministerie en tussen ministeries;4;0;;
"samenvattingen en conclusies
van Interne besprekingen en rapporten van
ambtelijke adviescommissies.";11;0;;
