text;Number of Tokens;Number of Mistakes;Number of Hallucinations;Number of OCR errors
ministerie;1;0;;
"Voedselkwaliteit (hierna: LNV) heeft u met een
beroep op de Wet openbaarheid van bestuur (hierna:
Wob) informatie verzocht.";18;0;;
krijgen;1;0;;
adviezen, memo's en andere documenten;5;0;;
"Varzoeken (ongevraagd) verkrachten, uitgaan en/of
opvragen zijn in het kader van een zoektocht naar
de oplossingen voor de stikstof- en PFAS-
problematiek. Tavans";22;4;2;2
Daaromtrent. Uw verzoek.;3;0;;
doorgestuurd;1;0;;
Zaken aan Koninkrijksrelaties (hierna: BZK).;5;1;1;
verzoek;1;0;;
Gevestigd;1;1;1;
"Dacambar 2019, kanmark 2019-000069030830909. Bij
brief van 15 januari 2020, kenmerk
2020-0000018522, is de bezwaartermijn verdaagd met
vier weken. Aangaande uw verzoek.";22;2;;2
Waterstaat;1;0;;
Algemene Zaken is doorgelicht,;4;1;1;
"Batrokkan ministeries contact met u opgenomen over
de specificering.";9;1;;1
"Verzoek. Met u is afgesproken dat u eerst aan
besluit zult ontvangen over de documentatie die
onder uw verzoek";19;1;1;
Onder uw verzoek.;3;0;;
"besluit buiten beschouwing gelaten. Daarnaast is u
madagadaald dat gezien.";10;1;;1
Verzoeken niet aan de wettelijke termijnen;6;1;1;
"Worden. Wettelijk kader. Uw verzoek valt onder de
reikwijdte.";9;0;;
"Ravanta Wob-artikelen verwijs ik u naar bijlage 1.
Pagina";9;1;;1
