text;Number of Tokens;Number of Mistakes;Number of Hallucinations;Number of OCR errors
"Ministerie van Onderwijs,
Cultuur en Wetenschap ElWage 1";8;1;;1
bestendigheid;1;1;1;
bestuursorgaan;1;0;;
"materiaal dat gegevens bevat;";4;0;;
"voorbereiding en de uitvoering ervan;";5;0;;
Intern beraad: het beraad;4;0;;
kring;1;0;;
"gezamenlijke verantwoordelijkheid voor een bestuurlijke aaneengeslotenheid;";7;1;1;
Niet-arbitrale adviescommissie: een van overheidswege ingestelde instantie;7;1;1;
geen ambtenaren;2;0;;
activeren over de;3;1;1;
instantie zijn voorgesteld, Ambtenaren;4;1;1;
Norden;1;1;1;
"als leden daarvan beschouwd;";4;0;;
Ambtelijke of gemend samengestelde adviescommissie: een instantie;7;0;;
activeren van een of meer;5;1;1;
"gedeeltelijk is samengesteld uit
ambtenaren, tot weer fondsle behoort het adviseren
";11;2;1;1
"onderwerpen die aan de Instantie zijn
voorgelegd;";7;0;;
 persoonlijke beleidsopvatting:;2;0;;
conclusie;1;0;;
"aangelegenheid en de clausule
";4;1;1;
Millett-Informatie:;1;1;1;
Artikel;1;0;;
"informatie neergelegd in documenten
over een bestuurlijke aangelegenheid";8;0;;
"onder verantwoordelijkheid van een
bestuurdersaan werkende";6;1;;1
verneemt;1;1;1;
"bestuurlijke aangelegenheid. Of het
daarop";5;0;;
betang te stellen.;3;1;0;1
"geformuleerd is, verzoekt het
bestuursorgaan";5;0;;
"mogelijk om zijn verzoek te preciseren
";5;0;;
om informatie;2;0;;
bepaalde;1;0;;
ingevolge;1;0;;
 de eenheid;2;0;;
de veiligheid;2;0;;
"schaden;";1;0;;
"bedrijfs- en
fabricagegegevens";3;0;;
"meegedeeld;";1;0;;
persoonsgegevens betreft als;3;0;;
"persoonsgegevens, tenzij de
verstrekking kennelijk";5;0;;
persoonlijke;1;0;;
raakt.;1;1;;1
